"subject","trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus","native","AOL","LearnType1","LearnType2","LearnType3","LearnType4","LearnType5","LearnType6","which","AOA","timespent","word1","word2","sameordiffstims","vowel_word1","vowel_word2","vowelcontrast","tributesto","tributesto2","trialType","cont"
"0p5y","html-keyboard-response",57,312862,"0.0-10.0-1.21",NA,NA,NA,NA,NA,245,"p","segel1500siegel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","segel","siegel",1,"e_long","i_long","e_long/i_long","i/e","0","different","e/i"
"0p5y","html-keyboard-response",59,317212,"0.0-10.0-1.22",NA,NA,NA,NA,NA,295,"q","spulen1500spulen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spulen","spulen",0,"u","u","u/u","u/i","u/y","same","u/u"
"0p5y","html-keyboard-response",61,321203,"0.0-10.0-1.23",NA,NA,NA,NA,NA,365,"p","kiel1500kuehl","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kiel","kuehl",1,"i_long","y","y/i_long","y/i","0","different","i/y"
"0p5y","html-keyboard-response",63,325578,"0.0-10.0-1.24",NA,NA,NA,NA,NA,1000,"p","tier1500tour","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tier","tour",1,"i_long","u","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",65,330082,"0.0-10.0-1.25",NA,NA,NA,NA,NA,345,"q","spielen1500spielen","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","spielen","spielen",0,"i_long","i_long","i_long/i_long","u/i","y/i","same","i/i"
"0p5y","html-keyboard-response",67,334075,"0.0-10.0-1.26",NA,NA,NA,NA,NA,377,"q","kiel1500kiel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kiel","kiel",0,"i_long","i_long","i_long/i_long","y/i","0","same","i/i"
"0p5y","html-keyboard-response",69,338351,"0.0-10.0-1.27",NA,NA,NA,NA,NA,653,"q","kuehl1500kuehl","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","kuehl","kuehl",0,"y","y","y/y","y/i","0","same","y/y"
"0p5y","html-keyboard-response",71,342444,"0.0-10.0-1.28",NA,NA,NA,NA,NA,287,"p","stiel1500stuhl","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stiel","stuhl",1,"i_long","u","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",73,346475,"0.0-10.0-1.29",NA,NA,NA,NA,NA,598,"q","blueten1500blueten","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","blueten","blueten",0,"y","y","y/y","u/y","0","same","y/y"
"0p5y","html-keyboard-response",75,350117,"0.0-10.0-1.30",NA,NA,NA,NA,NA,219,"q","bluten1500blueten","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","bluten","blueten",1,"u","y","u/y","u/y","0","different","u/y"
