"contrast","allmeans","allses","margin"
"/i-e/",0.884615384615385,0.0327111559542899,0.0310755981565754
"/u-i/",0.982905982905983,0.00740192652807213,0.00703183020166852
"/u-y/",0.709401709401709,0.0367620737907805,0.0349239701012414
"/i-y/",0.97008547008547,0.0174952901627852,0.016620525654646
